Timestamp,Cinsiyet,Yas,Bolge,Egitim,soru1,soru2,soru3,soru4,soru5,soru6,soru7,soru8,soru9,soru10,parti
5/11/2018 1:26:14,Erkek,18-30,Marmara,Lisans,Hayır,Evet,Evet,Hayır,Hayır,Hayır,Evet,Hayır,Evet,Evet,IYI PARTI
5/11/2018 1:28:11,Erkek,18-30,Marmara,Lisans,Evet,Evet,Hayır,Evet,Hayır,Evet,Hayır,Evet,Hayır,Hayır,AKP
5/11/2018 1:28:26,Kadın,18-30,Marmara,Lisans,Hayır,Evet,Hayır,Hayır,Hayır,Hayır,Evet,Hayır,Evet,Evet,DIĞER
5/11/2018 1:30:18,Erkek,0-18,Marmara,Lise,Evet,Evet,Hayır,Evet,Hayır,Evet,Evet,Evet,Evet,Evet,IYI PARTI
5/11/2018 1:30:21,Erkek,18-30,Marmara,Ön Lisans,Hayır,Evet,Evet,Evet,Hayır,Hayır,Evet,Evet,Hayır,Hayır,IYI PARTI
5/11/2018 1:32:03,Erkek,60+,Marmara,Lisans Üstü,Hayır,Hayır,Hayır,Hayır,Hayır,Hayır,Hayır,Hayır,Hayır,Hayır,HDP
5/11/2018 1:34:59,Kadın,18-30,Marmara,Lisans,Evet,Evet,Evet,Hayır,Hayır,Evet,Evet,Evet,Evet,Evet,DIĞER
5/11/2018 1:35:27,Erkek,0-18,Güneydoğu,Lise,Evet,Evet,Evet,Evet,Hayır,Hayır,Evet,Evet,Evet,Evet,CHP
5/11/2018 1:35:49,Erkek,0-18,Akdeniz,Lise,Hayır,Evet,Evet,Hayır,Evet,Hayır,Evet,Hayır,Evet,Evet,IYI PARTI
5/11/2018 1:39:58,Erkek,0-18,Doğu Anadolu,Lise,Evet,Evet,Hayır,Hayır,Hayır,Hayır,Evet,Hayır,Hayır,Hayır,CHP
5/11/2018 1:40:01,Erkek,18-30,İç Anadolu,Lisans,Hayır,Evet,Evet,Evet,Hayır,Hayır,Evet,Hayır,Evet,Evet,CHP
5/11/2018 1:40:45,Erkek,18-30,Marmara,Lise,Hayır,Evet,Evet,Hayır,Hayır,Hayır,Evet,Hayır,Evet,Hayır,DIĞER
5/11/2018 1:41:50,Erkek,18-30,İç Anadolu,Lisans,Hayır,Evet,Evet,Evet,Hayır,Evet,Evet,Hayır,Evet,Hayır,AKP
5/11/2018 1:42:18,Erkek,0-18,Akdeniz,Lise,Evet,Evet,Hayır,Evet,Hayır,Evet,Hayır,Evet,Hayır,Hayır,IYI PARTI
5/11/2018 1:45:40,Erkek,18-30,Akdeniz,Lisans,Hayır,Evet,Evet,Evet,Hayır,Evet,Evet,Hayır,Evet,Evet,CHP
5/11/2018 1:46:05,Erkek,18-30,Güneydoğu,Ön Lisans,Hayır,Evet,Evet,Hayır,Hayır,Hayır,Evet,Hayır,Evet,Evet,CHP
5/11/2018 1:46:14,Erkek,18-30,Karadeniz,Lisans,Hayır,Evet,Evet,Evet,Hayır,Evet,Evet,Hayır,Evet,Hayır,AKP
5/11/2018 1:46:44,Kadın,18-30,Marmara,Lisans,Evet,Evet,Hayır,Evet,Hayır,Hayır,Evet,Hayır,Evet,Evet,CHP
5/11/2018 1:48:57,Erkek,18-30,Marmara,Lisans,Hayır,Evet,Hayır,Evet,Hayır,Evet,Evet,Evet,Evet,Evet,IYI PARTI
5/11/2018 1:49:00,Erkek,0-18,Ege,Lise,Hayır,Evet,Hayır,Evet,Hayır,Hayır,Evet,Hayır,Evet,Hayır,DIĞER
5/11/2018 1:49:50,Kadın,60+,Doğu Anadolu,İlkokul,Evet,Evet,Evet,Hayır,Evet,Hayır,Hayır,Evet,Hayır,Hayır,HDP
5/11/2018 1:55:21,Erkek,0-18,Karadeniz,Lise,Hayır,Evet,Evet,Hayır,Hayır,Hayır,Evet,Evet,Evet,Evet,CHP
